benefit_type,element_name,amount,frequency,source,reference_url,notes
universal_credit,standard_allowance_single_under_25,316.98,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,2025-26 rates effective April 2025
universal_credit,standard_allowance_single_25_over,400.14,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,2025-26 rates effective April 2025
universal_credit,standard_allowance_couple_both_under_25,497.55,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,2025-26 rates effective April 2025
universal_credit,standard_allowance_couple_one_or_both_25_over,628.10,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,2025-26 rates effective April 2025
universal_credit,child_element_first_child_born_before_april_2017,339.00,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,First child born prior to 6 April 2017
universal_credit,child_element_first_child_born_after_april_2017,292.81,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,First child born on or after 6 April 2017
universal_credit,child_element_subsequent_children,292.81,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Second child and subsequent children where exception applies
universal_credit,disabled_child_addition_lower_rate,158.76,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Lower rate addition for disabled children
universal_credit,disabled_child_addition_higher_rate,495.87,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Higher rate addition for disabled children
universal_credit,limited_capability_work,158.76,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Limited Capability for Work amount
universal_credit,limited_capability_work_related_activity,423.27,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Limited Capability for Work and Work-Related Activity amount
universal_credit,carer_element,201.68,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Carer amount
universal_credit,childcare_costs_max_one_child,1031.88,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Maximum for one child
universal_credit,childcare_costs_max_two_plus_children,1768.94,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Maximum for two or more children
universal_credit,childcare_element_percentage,85,percentage,GOV.UK,https://www.gov.uk/universal-credit/what-youll-get,85% of eligible childcare costs
